,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
91,development_new91,1000," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring _ to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star"," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring "," to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star",gold,bruce,him,,,1
51,development_new51,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce, bruce,,,1
88,development_new88,1000," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring _ to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star"," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring "," to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star",gold,bruce,his son,,,1
84,development_new84,1000," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring _ to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star"," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring "," to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star",gold,bruce,the dragon,,,1
44,development_new44,1000," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When _ refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When "," refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury",gold,bruce,his chinese peers,,,1
73,development_new73,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,him,the television series,,,2
81,development_new81,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,the lead role,the television series,,,2
30,development_new30,1000," The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in _, Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian", The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in ,", Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian",gold,college,money,,,1
60,development_new60,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,defeat,,,1
35,development_new35,1000," The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in _, Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian", The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in ,", Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian",gold,college,he,,,1
67,development_new67,1000,"Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats _, earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats ",", earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight",gold,johnny,a rematch,,,1
2,development_new2,1000,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in _ having to leave Hong Kong","In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in ", having to leave Hong Kong,gold,the demon,him,,,2
90,development_new90,1000," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring _ to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star"," This time, after being beaten and then shown his own grave, Bruce sees his son urging Bruce to save him  The Demon pursues Brandon, spurring "," to fight back, save Brandon and break the Demon's neck  Dragon: The Bruce Lee Story ends with Bruce filming another scene from Enter the Dragon, the film that would make him an international star",gold,bruce,brandon,,,1
69,development_new69,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold, bruce,the television series,,,2
58,development_new58,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,him,,,1
43,development_new43,1000," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When _ refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When "," refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury",gold,bruce,a martial arts school,,,1
31,development_new31,1000," The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in _, Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian", The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in ,", Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian",gold,college,him,,,1
68,development_new68,1000,"Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats _, earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats ",", earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight",gold,johnny,the fight,,,1
32,development_new32,1000," The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in _, Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian", The restaurant owner fires him but also lends him money and encourages him to go to college  While studying philosophy in ,", Bruce begins to teach martial arts classes, where he meets Linda, a white American  Bruce marries Linda in defiance of her racist mother, Vivian",gold,college,her racist mother,,,1
50,development_new50,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,the matter,,,1
70,development_new70,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,krieger,the television series,,,2
3,development_new3,1000,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in _ having to leave Hong Kong","In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in ", having to leave Hong Kong,gold,a young adult,him,,,2
80,development_new80,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,the idea,the television series,,,2
7,development_new7,1000,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in _ having to leave Hong Kong","In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in ", having to leave Hong Kong,gold,chinese martial arts training,him,,,2
11,development_new11,1000,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in _ having to leave Hong Kong","In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in ", having to leave Hong Kong,gold,his young son,him,,,2
6,development_new6,1000,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in _ having to leave Hong Kong","In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in ", having to leave Hong Kong,gold,who,him,,,2
16,development_new16,1000," His father insists he go to the US In _, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college", His father insists he go to the US In ,", Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college",gold,the us,bruce,,,1
5,development_new5,1000,"In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in _ having to leave Hong Kong","In Hong Kong, Bruce Lee's father Lee Hoi-chuen awakens from a nightmare about a phantom, known as the Demon, haunting his young son  He subsequently enrolls him in Chinese martial arts training with instructor Yip Man  As a young adult, Bruce fights British sailors who are harassing a young Chinese woman, resulting in ", having to leave Hong Kong,gold, he,him,,,2
47,development_new47,1000," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When _ refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury"," Linda suggests Bruce establishes a martial arts school, but his Chinese peers demand he train only Chinese people  When "," refuses, they challenge him to settle the matter in combat  Bruce defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks Bruce after he has admitted defeat, and Bruce sustains a debilitating back injury",gold,bruce,"a secret, no-holds-barred match",,,1
59,development_new59,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,johnny attacks,,,1
19,development_new19,1000," His father insists he go to the US In _, Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college", His father insists he go to the US In ,", Bruce works as a dishwasher at a Chinese restaurant until he gets in a brawl with four of the cooks  The restaurant owner fires him but also lends him money and encourages him to go to college",gold,the us, his father,,,1
66,development_new66,1000,"Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats _, earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats ",", earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight",gold,johnny,ed parker,,,1
54,development_new54,1000," When Bruce refuses, they challenge him to settle the matter in combat  _ defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks _ after he has admitted defeat, and _ sustains a debilitating back injury  While Bruce is temporarily paralyzed, Linda helps him write the martial arts book Tao of Jeet Kune Do"," When Bruce refuses, they challenge him to settle the matter in combat  "," defeats a challenger named Johnny Sun in a secret, no-holds-barred match but Johnny attacks ",gold,bruce,a challenger,,,1
79,development_new79,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,his injuries,the television series,,,2
63,development_new63,1000,"Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats _, earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats ",", earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight",gold,johnny,the audience,,,1
71,development_new71,1000," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for _ Kung Fu, agreeing that Bruce will feature in the lead role"," Unbeknown to Bruce, Johnny is crippled from his injuries in the fight  After the match, Bill Krieger, who later becomes Bruce's manager, offers him the role of Kato in the television series The Green Hornet  Bruce and Krieger also create the idea for "," Kung Fu, agreeing that Bruce will feature in the lead role",gold,who,the television series,,,2
62,development_new62,1000,"Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats _, earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight","Some months later, during a martial arts tournament run by Ed Parker, Johnny challenges Bruce to a rematch  Bruce defeats ",", earning the respect of the audience  Unbeknown to Bruce, Johnny is crippled from his injuries in the fight",gold,johnny, bruce,,,1
